Patients,Ranks_Top_100
P_NCT02872025,4
P_NCT03048942,5
P_NCT02448420,1
P_NCT03740893,1
P_NCT03315364,6
P_NCT03428802,11
P_NCT02583828,22
P_NCT02344472,59
P_NCT02187991,0
P_NCT01785420,0
P_NCT03324425,28
P_NCT03546686,18
P_NCT03025035,0
P_NCT02095184,0
P_NCT02760030,1
P_NCT03500380,5
P_NCT03515798,2
P_NCT03272334,37
P_NCT02977468,0
P_NCT02627248,9
P_NCT03747120,0
P_NCT02926690,0
P_NCT02716116,2
P_NCT01817452,95
P_NCT03596073,13
P_NCT02965950,1
P_NCT02632448,12
P_NCT02615457,1
P_NCT03090165,1
P_NCT03685331,15
