Patients,Ranks_Top_70
P_NCT02872025,3
P_NCT03048942,6
P_NCT02448420,1
P_NCT03740893,1
P_NCT03315364,5
P_NCT03428802,10
P_NCT02583828,27
P_NCT02344472,44
P_NCT02187991,0
P_NCT01785420,0
P_NCT03324425,43
P_NCT03546686,11
P_NCT03025035,0
P_NCT02095184,0
P_NCT02760030,1
P_NCT03500380,6
P_NCT03515798,4
P_NCT03272334,58
P_NCT02977468,0
P_NCT02627248,13
P_NCT03747120,0
P_NCT02926690,0
P_NCT02716116,2
P_NCT01817452,68
P_NCT03596073,7
P_NCT02965950,1
P_NCT02632448,15
P_NCT02615457,1
P_NCT03090165,15
P_NCT03685331,12
