Patients,Time_Top70
P_NCT02872025,0.7492890357971191
P_NCT03048942,1.1939647197723389
P_NCT02448420,0.9444019794464111
P_NCT03740893,0.8751866817474365
P_NCT03315364,1.09796142578125
P_NCT03428802,0.7418854236602783
P_NCT02583828,0.813469648361206
P_NCT02344472,0.6960949897766113
P_NCT02187991,0.7096679210662842
P_NCT01785420,0.6010563373565674
P_NCT03324425,0.6418931484222412
P_NCT03546686,0.8032677173614502
P_NCT03025035,0.9537715911865234
P_NCT02095184,0.5768947601318359
P_NCT02760030,0.5742278099060059
P_NCT03500380,0.6874620914459229
P_NCT03515798,0.6742064952850342
P_NCT03272334,0.5768692493438721
P_NCT02977468,0.6789557933807373
P_NCT02627248,0.5658838748931885
P_NCT03747120,0.5849316120147705
P_NCT02926690,0.623603105545044
P_NCT02716116,0.6864564418792725
P_NCT01817452,0.5182332992553711
P_NCT03596073,0.7258217334747314
P_NCT02965950,0.6780679225921631
P_NCT02632448,0.5513219833374023
P_NCT02615457,0.6159794330596924
P_NCT03090165,0.9645934104919434
P_NCT03685331,0.7374370098114014
