Patients,Time_Top80
P_NCT02872025,0.5700626373291016
P_NCT03048942,0.9160382747650146
P_NCT02448420,0.7282998561859131
P_NCT03740893,0.6735663414001465
P_NCT03315364,0.8409450054168701
P_NCT03428802,0.6061527729034424
P_NCT02583828,0.6799185276031494
P_NCT02344472,0.6066184043884277
P_NCT02187991,0.6751370429992676
P_NCT01785420,0.5837054252624512
P_NCT03324425,0.6407601833343506
P_NCT03546686,0.8681399822235107
P_NCT03025035,1.3137905597686768
P_NCT02095184,0.8560123443603516
P_NCT02760030,0.7993674278259277
P_NCT03500380,0.8272764682769775
P_NCT03515798,0.8583052158355713
P_NCT03272334,0.8822481632232666
P_NCT02977468,0.8992304801940918
P_NCT02627248,0.8592302799224854
P_NCT03747120,0.7890186309814453
P_NCT02926690,0.7682874202728271
P_NCT02716116,0.8358922004699707
P_NCT01817452,0.7001662254333496
P_NCT03596073,1.056457281112671
P_NCT02965950,0.9301810264587402
P_NCT02632448,0.7429907321929932
P_NCT02615457,0.7443015575408936
P_NCT03090165,1.1972668170928955
P_NCT03685331,0.9785127639770508
