Patients,Time_Top100
P_NCT02872025,1.2976453304290771
P_NCT03048942,1.7473061084747314
P_NCT02448420,1.3846533298492432
P_NCT03740893,1.1478075981140137
P_NCT03315364,1.3449993133544922
P_NCT03428802,1.0070934295654297
P_NCT02583828,1.1751737594604492
P_NCT02344472,1.0929882526397705
P_NCT02187991,1.1829314231872559
P_NCT01785420,0.9836819171905518
P_NCT03324425,1.0602772235870361
P_NCT03546686,1.2399864196777344
P_NCT03025035,1.4413139820098877
P_NCT02095184,0.9169578552246094
P_NCT02760030,0.9278311729431152
P_NCT03500380,1.0531079769134521
P_NCT03515798,1.1296961307525635
P_NCT03272334,0.9209351539611816
P_NCT02977468,1.1243610382080078
P_NCT02627248,0.8900244235992432
P_NCT03747120,0.9400811195373535
P_NCT02926690,1.015352725982666
P_NCT02716116,1.1638226509094238
P_NCT01817452,0.8891615867614746
P_NCT03596073,1.1938202381134033
P_NCT02965950,1.0827138423919678
P_NCT02632448,0.8750483989715576
P_NCT02615457,0.91017746925354
P_NCT03090165,1.4117672443389893
P_NCT03685331,1.1644325256347656
