Patients,Time_Top60
P_NCT02872025,0.8002231121063232
P_NCT03048942,1.3992893695831299
P_NCT02448420,1.1487972736358643
P_NCT03740893,0.9669265747070312
P_NCT03315364,1.1982455253601074
P_NCT03428802,0.7850382328033447
P_NCT02583828,0.8583488464355469
P_NCT02344472,0.7677338123321533
P_NCT02187991,0.9097135066986084
P_NCT01785420,0.8017637729644775
P_NCT03324425,0.9102520942687988
P_NCT03546686,1.1378142833709717
P_NCT03025035,1.292708396911621
P_NCT02095184,0.7373249530792236
P_NCT02760030,0.7735903263092041
P_NCT03500380,0.8222079277038574
P_NCT03515798,0.8782875537872314
P_NCT03272334,0.7064065933227539
P_NCT02977468,0.870659351348877
P_NCT02627248,0.7384748458862305
P_NCT03747120,0.7763762474060059
P_NCT02926690,0.8547346591949463
P_NCT02716116,0.8802640438079834
P_NCT01817452,0.6744000911712646
P_NCT03596073,0.9432272911071777
P_NCT02965950,0.8253564834594727
P_NCT02632448,0.6914925575256348
P_NCT02615457,0.6703627109527588
P_NCT03090165,1.2643072605133057
P_NCT03685331,0.9305846691131592
